Width (m),Discharge (m3/s),D50 (m),Depth (m),
10.09,11.27,0.00065,1.00,
6.10,7.02,0.00059,0.70,
11.03,7.19,0.00081,0.90,
14.17,8.81,0.00055,0.95,
18.04,37.10,0.00135,1.50,
34.00,120.00,0.064,1.71,
33.90,38.20,0.0339,1.89,
14.90,6.40,0.0079,1.40,
40.90,45.30,0.0371,4.50,
14.20,1.40,0.0001,4.69,
32.60,25.20,0.0008,1.89,
140.00,1200.00,0.000400,1.71,
145.00,980.00,0.004520,2.90,
160.00,830.00,0.006200,2.80,
3.40,3.40,0.076,3.11,
41.60,142.00,0.022,1.38,
142.50,2210.00,0.074,1.37,
187.00,2607.00,0.054,1.62,
9.88,8.47,0.07112,1.71,
59.44,178.96,0.039116,0.40,
10.96,7.67,0.133688667,0.78,
4.83,2.24,0.047244,1.10,
10.90,8.41,0.086106,1.07,
20.23,29.17,0.061214,1.33,
18.48,32.60,0.04018,0.94,
42.43,89.20,0.0896,0.50,
17.07,22.50,0.0352,1.19,
52.63,181.20,0.0207,0.90,
5.18,1.47,0.037084,2.79,
46.63,79.90,0.0554,1.53,
54.10,182.36,0.055372,1.05,
21.70,56.07,0.147066,1.30,
45.59,114.68,0.061468,0.55,
24.52,78.44,0.119634,2.44,
20.14,31.43,0.007874,0.61,
25.78,37.70,0.09055,1.62,
24.13,48.70,0.027,1.46,
15.16,14.36,0.000254,1.04,
20.45,15.57,0.068326,0.37,
15.68,12.30,0.0109,2.29,
11.55,2.50,0.00065,0.27,
15.92,17.36,0.103124,0.18,
4.92,1.93,0.075184,2.01,
25.51,70.79,0.065532,1.07,
16.83,9.90,0.0183,0.30,
6.70,1.10,0.00006,1.46,
11.64,7.39,0.063246,1.49,
12.41,7.65,0.099822,2.23,
68.99,182.36,0.019812,1.62,
4.65,2.04,0.040894,1.43,
17.22,2.83,0.032258,1.68,
11.43,12.40,0.0545,1.46,
53.48,136.77,0.058674,0.94,
18.26,19.20,0.04572,1.37,
17.33,19.54,0.020066,1.92,
3.37,0.82,0.028702,2.40,
97.55,236.16,0.102616,1.00,
8.01,4.93,0.043688,0.90,
14.68,9.74,0.049022,1.70,
11.38,2.49,0.045974,0.60,
8.30,4.40,0.0372,1.20,
57.20,117.20,0.0184,5.00,
10.17,4.25,0.025908,3.00,
16.48,17.84,0.053848,3.00,
10.71,3.77,0.147066,1.10,
35.56,87.78,0.002032,0.46,
19.00,29.73,0.010922,1.01,
10.96,7.67,0.13369,0.94,
49.15,175.56,0.122174,1.16,
10.90,8.41,0.08611,0.37,
20.86,34.83,0.068072,1.67,
24.52,78.44,0.11963,5.27,
59.34,200.20,0.15748,5.12,
14.60,5.55,0.034036,0.50,
16.75,19.23,0.166116,2.12,
35.38,68.53,0.086614,0.53,
45.11,159.71,0.17094,0.49,
13.11,9.17,0.01905,0.66,
17.07,22.74,0.213106,1.22,
31.15,118.36,0.16307,0.84,
16.96,33.13,0.087122,1.20,
33.26,60.03,0.084074,0.97,
33.73,142.43,0.07696,1.47,
31.48,85.52,0.058928,0.27,
19.96,25.88,0.103124,1.00,
11.75,6.43,0.024892,1.52,
74.22,188.02,0.048768,0.73,
17.30,16.40,0.019,1.52,
7.00,8.50,0.0559,1.31,
25.10,15.50,0.0405,1.60,
4.60,2.20,0.0001,0.67,
74.70,104.80,0.0558,1.07,
10.10,7.50,0.0648,1.22,
7.60,3.40,0.0048,0.75,
3.60,1.30,0.0005,1.10,
49.89,65.41,0.07061,0.58,
107.00,700.00,0.0003,0.97,
23.00,40.00,0.00033,0.39,
104.00,255.00,0.049,1.25,
87.00,354.00,0.05,0.80,
242.00,2661.00,0.057,0.27,
333.00,2280.00,0.022,0.47,
356.00,2718.00,0.052,0.62,
48.00,40.00,0.027,2.79,
111.00,733.00,0.014,0.49,
311.00,2890.00,0.067,0.55,
493.00,9628.00,0.058,0.77,
52.00,416.99,0.045,1.80,
2286.00,216340.71,0.0002,1.20,
138.00,875.00,0.0071,1.06,
34.024824,60.31488324,0.155,0.22,
7.65048,5.861587245,0.096,1.75,
11.59764,16.14060256,0.07,0.35,
21.500592,25.48516193,0.108,1.06,
27.29484,33.98021591,0.05,0.68,
27.2796,33.98021591,0.0325,0.30,
22.728936,65.12874716,0.135,2.07,
23.429976,41.62576449,0.1575,0.27,
8.805672,4.247526989,0.1095,0.85,
34.058352,56.63369318,0.155,0.45,
47.75,186.9,0.0645,2.12,
13.47216,24.918825,0.1675,1.50,
23.664672,43.89111222,0.107,0.53,
59.8932,116.099071,0.1055,1.71,
39.084504,82.11885512,0.0548,0.66,
12.874752,24.918825,0.1175,0.79,
22.00,34.00,0.152,1.31,
107.00,622.67,0.057,1.87,
168.80,1543.45,0.028,0.55,
77.50,579.53,0.052,0.76,
102.00,608.43,0.058,1.34,
160.50,978.71,0.052,1.77,
128.50,1020.76,0.047,0.82,
137.35,1319.62,0.038,0.70,
195.50,2928.89,0.07,1.28,
127.05,1428.97,0.034,0.76,
103.05,2012.31,0.063,1.01,
37.50,20.00,0.0205,1.73,
42.20,25.00,0.0063,1.85,
7.50,2.27,0.01,0.70,
22.86,40.72,0.011,0.64,
21.34,14.10,0.00025,1.42,
10.94,10.34,0.095,0.50,
31.67,35.28,0.078,0.70,
28.32,24.32,0.025,0.40,
8.29,4.56,0.0003,0.50,
10.73,11.75,0.031,1.00,
9.88,2.83,0.00022,0.50,
13.29,7.76,0.00014,0.90,
34.50,18.09,0.001,0.50,
27.55,24.00,0.019,0.90,
15.12,10.70,0.00009,5.00,
21.40,22.40,0.021,2.00,
21.34,22.06,0.002,1.36,
15.76,5.30,0.021,1.98,
18.41,34.66,0.009,4.60,
15.24,5.49,0.00021,4.64,
13.11,11.13,0.026,4.24,
19.63,24.95,0.003,0.98,
8.38,2.61,0.00038,3.86,
15.82,4.08,0.001,4.63,
23.47,5.47,0.00025,6.77,
12.62,6.60,0.00023,1.93,
15.00,7.39,0.00027,48.12,
7.32,1.95,0.005,1.89,
26.61,18.70,0.021,1.10,
23.38,11.41,0.006,4.25,
19.20,3.28,0.009,1.228344,
21.95,9.66,0.013,0.56388,
22.28,9.80,0.00075,0.694944,
27.22,18.72,0.00063,0.768096,
12.31,5.30,0.017,1.060704,
16.46,14.22,0.029,1.018032,
56.97,125.02,0.03,1.039368,
16.92,1.67,0.00007,1.167384,
7.83,2.35,0.012,0.347472,
20.73,99.11,0.00025,1.133856,
10.97,24.07,0.00027,1.43,
40.84,88.91,0.0005,0.801624,
14.33,46.16,0.0004,1.0668,
10.67,16.57,0.00021,1.048512,
9.75,36.81,0.0005,1.594104,
37.49,61.59,0.00025,0.935736,
30.48,127.43,0.00048,1.27,
43.59,58.90,0.00025,2.39,
89.31,308.65,0.0005,4.97,
64.92,453.07,0.0013,3.14,
76.81,396.44,0.00063,2.43,
67.06,311.49,0.00071,2.84,
74.68,566.34,0.00095,3.67,
50.29,254.85,0.00057,4.37,
74.98,566.34,0.0009,4.74,
73.46,368.12,0.00088,5.37,
70.10,283.17,0.00052,5.99,
15.91,19.51,0.01562,1.21,
6.55,1.53,0.01343,1.23,
4.20,1.30,0.03863,0.45,
6.64,5.72,0.01241,1.31,
21.90,77.30,0.03123,0.78,
33.31,34.55,0.00416,0.58,
4.51,1.47,0.01517,1.16,
96.00,300.20,0.07493,0.73,
4.72,1.81,0.0106,0.92,
12.10,20.10,0.09486,0.82,
12.10,5.00,0.01294,0.38,
75.59,291.66,0.01471,0.94,
10.80,11.00,0.02917,0.60,
11.37,14.16,0.04505,0.96,
5.79,2.78,0.0142,0.97,
9.40,9.10,0.02823,0.83,
13.99,3.94,0.0084,1.55,
63.80,410.60,0.03793,0.41,
13.93,17.84,0.01517,1.57,
30.02,59.18,0.01383,0.56,
16.73,26.05,0.04144,0.78,
29.70,45.60,0.0443,1.02,
9.60,9.40,0.00554,0.62,
27.22,59.47,0.0179,0.47,
10.52,16.71,0.01866,0.40,
8.90,7.08,0.00703,0.83,
6.30,7.90,0.04898,0.85,
17.20,25.80,0.0392,0.53,
7.60,5.40,0.05183,0.68,
19.30,35.40,0.05983,0.78,
38.50,82.70,0.05412,0.39,
15.91,19.51,0.01562,0.58,
12.80,21.95,0.01113,0.72,
6.55,1.53,0.01343,0.93,
19.17,15.35,0.01773,0.42,
11.19,7.93,0.01169,0.71,
5.79,2.78,0.0142,1.34,
13.99,3.94,0.0084,0.37,
4.57,1.02,0.00978,0.35,
4.39,1.87,0.01699,0.91,
7.74,3.40,0.01103,1.98,
8.90,7.08,0.00703,0.94,
43.43,70.51,0.02786,1.34,
37.00,54.65,0.00021,1.19,
152.40,3157.63,0.05407919,2.38,
114.30,3368.49,0.027525957,0.76,
142.90,1913.59,0.000540167,0.70,
152.40,1902.22,0.000227494,2.23,
161.90,2178.99,0.000548663,1.77,
133.40,1535.98,0.000340791,6.55,
181.00,2608.97,0.000458557,5.67,
171.50,2472.03,0.000368349,5.10,
76.20,1851.44,0.026030896,6.67,
114.30,3451.26,0.052944905,6.32,
76.20,2603.78,0.050776551,5.86,
104.80,2998.19,0.075010983,4.17,
95.30,3792.30,0.029750039,4.66,
114.30,2896.84,0.048538475,1.23,
114.30,3677.94,0.023408014,1.30,
171.50,5411.80,0.048051609,0.34,
152.40,4688.80,0.009433679,0.30,
152.40,1689.57,0.077784783,0.86,
228.60,7646.22,0.001607392,1.00,
133.40,3719.66,0.065737885,2.10,
171.50,3533.11,0.081378729,1.00,
161.90,2980.24,0.080884284,0.30,
104.80,1608.86,0.07314272,1.39,
133.40,1929.47,0.059552248,0.39,
133.40,1867.70,0.054465858,0.50,
114.30,1403.65,0.033150317,1.90,
133.40,1958.53,0.069330453,0.51,
142.90,2065.51,0.031583553,0.60,
95.30,919.35,0.05526036,0.80,
95.30,1402.41,0.010095306,0.90,
104.80,1584.80,0.045889815,2.32,
95.30,1565.16,0.028518052,1.00,
114.30,1948.91,0.028901133,0.98,
114.30,2171.92,0.008106626,0.46,
142.90,3521.00,0.044345976,0.70,
114.30,1802.95,0.000598293,0.70,
161.90,2833.89,0.033667833,0.91,
114.30,1296.20,0.050469445,3.70,
104.80,1380.81,0.00069341,1.37,
76.20,825.12,0.034692787,1.00,
133.40,1194.00,0.018286001,2.01,
104.80,1249.87,0.010966874,0.90,
133.40,1627.99,0.039560921,1.30,
142.90,2061.87,0.000857414,0.80,
171.50,2639.01,0.019140497,2.31,
181.00,2434.63,0.029475083,1.00,
133.40,1706.65,0.000565194,0.98,
85.70,706.57,0.006420659,0.89,
114.30,1428.33,0.033957788,0.70,
133.40,1545.07,0.000634909,0.60,
76.20,1577.02,0.043900078,1.10,
133.40,2263.05,0.03616963,0.50,
95.30,1661.12,0.000475227,1.10,
123.80,1986.00,0.04008103,1.50,
142.90,1996.99,0.000601415,1.23,
133.40,1432.59,0.015556185,1.07,
133.40,1580.88,0.004973704,0.34,
133.40,1580.88,0.000577312,0.81,
123.80,1541.87,0.000494478,0.72,
123.80,1817.07,0.007223516,0.46,
142.90,2246.47,0.015662801,0.91,
114.30,2700.87,0.047059965,0.33,
123.80,1759.79,0.022964812,0.43,
133.40,2322.92,0.021893314,0.58,
123.80,1584.45,0.024191561,0.89,
133.40,2475.66,0.016488908,1.37,
95.30,1226.64,0.015907278,2.46,
85.70,1144.64,0.000358087,8.35,
114.30,1743.78,0.005387677,10.60,
114.30,1500.92,0.026084972,11.54,
85.70,1326.38,0.000355398,9.38,
85.70,1000.01,0.003551709,10.68,
104.80,2338.14,0.032955358,9.14,
95.30,944.60,0.000793265,11.17,
95.30,1122.56,0.000353569,11.17,
114.30,1182.24,0.004707294,11.20,
85.70,1388.70,0.000339634,12.37,
95.30,1456.04,0.009986455,12.94,
114.30,1548.48,0.000368113,11.49,
95.30,1454.17,0.000439965,13.05,
85.70,916.98,0.000329487,11.16,
85.70,1256.32,0.000581366,12.82,
133.40,1567.21,0.000195428,12.93,
142.90,4828.51,0.056824158,12.26,
95.30,1482.45,0.000411087,6.19,
95.30,1265.94,0.000345375,11.78,
85.70,1159.54,0.000307239,9.72,
95.30,991.22,0.000373275,9.00,
85.70,1096.37,0.000357495,8.11,
95.30,994.71,0.000392874,9.14,
85.70,1076.29,0.000406144,6.92,
76.20,795.81,0.00022052,9.03,
76.20,967.29,0.000433725,6.02,
66.70,670.32,0.000338544,9.18,
152.40,3063.24,0.056973371,6.92,
66.70,894.08,0.000339304,6.43,
66.70,764.11,0.000344824,9.20,
66.70,787.81,0.00033879,8.04,
66.70,834.72,0.000795503,9.12,
66.70,792.59,0.000332664,9.12,
76.20,896.94,0.000350943,9.95,
76.20,918.03,0.000378593,11.51,
85.70,1320.54,0.000337543,9.56,
85.70,1221.05,0.000317293,11.08,
133.40,2206.89,0.000444765,7.09,
64.90,425.00,0.00038,9.62,
67.60,279.30,0.00032,5.82,
39.40,145.90,0.0005,5.70,
58.30,197.20,0.00059,8.06,
109.10,1324.20,0.00026,6.46,
121.50,1451.50,0.00022,7.76,
126.10,1308.80,0.00024,7.09,
28.10,117.60,0.00161,7.60,
21.70,92.60,0.00028,6.01,
61.00,816.50,0.0003,4.91,
210.50,615.10,0.00064,6.25,
78.70,750.40,0.00039,7.19,
125.60,383.60,0.00063,8.05,
128.50,415.30,0.00082,9.12,
101.20,555.40,0.00066,8.54,
49.50,246.70,0.00012,7.94,
58.60,307.10,0.00043,6.41,
43.30,114.60,0.00107,5.54,
44.40,179.30,0.00019,6.20,
65.40,287.90,0.00036,6.20,
71.50,302.70,0.00047,7.12,
98.60,362.10,0.00054,6.83,
61.10,281.90,0.00084,8.27,
78.30,482.60,0.00042,9.45,
82.70,510.50,0.00062,7.25,
43.20,200.70,0.00138,8.71,
39.20,44.60,0.00017,8.59,
16.30,37.70,0.00014,9.14,
71.70,220.10,0.00023,10.06,
56.70,135.40,0.00057,10.12,
87.00,444.60,0.00035,10.10,
119.40,559.80,0.00035,9.66,
44.20,75.40,0.00128,11.55,
148.60,657.30,0.00065,8.05,
107.40,591.30,0.00051,8.23,
105.20,690.50,0.00062,12.24,
218.00,1351.50,0.00026,11.55,
225.00,1367.80,0.00026,11.89,
35.20,172.70,0.0016,12.86,
54.30,181.40,0.0005,11.66,
37.50,165.70,0.00015,10.67,
145.60,1199.30,0.00014,11.06,
19.80,18.00,0.00053,10.59,
58.40,98.20,0.00061,11.11,
35.10,69.10,0.00134,10.58,
42.60,173.90,0.00033,11.01,
80.50,489.40,0.00027,10.80,
188.60,1306.60,0.00028,9.91,
178.00,957.90,0.0005,9.88,
204.20,1019.00,0.00091,9.04,
121.80,267.40,0.00044,11.63,
55.10,130.70,0.00029,9.75,
142.90,463.60,0.00016,11.42,
87.20,313.00,0.00163,10.66,
171.40,1030.40,0.00059,11.65,
123.90,561.60,0.00105,10.47,
29.30,63.00,0.00035,9.31,
57.00,125.00,0.07,13.14,
1600.00,16000.00,0.0003,11.23,
23.00,90.00,0.0003,11.69,
15.80,23.60,0.041,12.27,
12.80,14.30,0.023,11.32,
7.40,6.20,0.036,12.39,
4.50,3.10,0.08,10.76,
14.40,11.60,0.062,14.27,
8.70,6.20,0.026,11.97,
5.20,3.50,0.052,13.03,
9.10,9.70,0.077,6.41,
10.80,12.80,0.03,3.70,
21.20,23.70,0.031,2.61,
200.00,290.00,0.0004,3.55,
40.00,210.00,0.00015,7.09,
1975.00,28000.00,0.00035,8.22,
600.00,1240.00,0.0003,7.80,
140.00,1200.00,0.0004,2.95,
21.52,48.87,0.0099,3.49,
8.56,5.28,0.0157,6.58,
23.59,20.78,0.0162,2.59,
19.05,18.72,0.0104,6.34,
20.91,37.15,0.0168,2.15,
23.59,24.17,0.0008,2.32,
42.06,140.45,0.0205,4.93,
56.50,539.70,0.03773,3.55,
22.95,48.14,0.020633333,3.17,
58.17,106.75,0.0171,3.09,
68.40,20.50,0.003,3.81,
25.40,0.85,0.004,3.24,
10.10,0.28,0.009,3.37,
10.30,1.22,0.023,3.24,
14.70,0.31,0.006,3.15,
8.03,1.39,0.01,4.50,
34.30,6.69,0.005,4.38,
24.80,1.95,0.005,4.19,
3.94,0.46,0.081,1.46,
0.97,0.0210,0.01,2.69,
7.09,1.12,0.009,3.37,
9.39,0.36,0.001,2.70,
3.90,0.19,0.007,3.39,
3.16,0.66,0.006,3.59,
22.00,1.58,0.015,2.36,
10.90,1.82,0.012,4.43,
11.20,1.08,0.001,5.91,
48.00,6.77,0.005,5.67,
6.07,0.16,0.0045,5.27,
1.91,0.55,0.007,5.12,
32.00,40.00,0.00025,3.83,
120.00,665.00,0.0014,2.51,
17.10,12.00,0.0005,4.60,
58.00,226.00,0.018,6.27,
32.00,187.00,0.072,1.25,
29.00,45.30,0.035,2.04,
31.00,23.80,0.115,2.03,
69.00,668.00,0.014,2.76,
13.00,24.50,0.015,4.52,
27.00,10.50,0.066,5.89,
18.60,24.90,0.04,5.58,
99.10,580.60,0.021,4.61,
16.00,73.60,0.0062,1.95,
15.00,12.60,0.015,2.09,
3.00,3.00,0.038,2.77,
17.00,5.50,0.045,3.27,
8.20,13.20,0.0034,5.25,
39.60,70.80,0.045,4.07,
42.10,91.80,0.012,2.02,
4.00,1.70,0.165,1.55,
4.00,6.20,0.03,1.10,
3.00,4.50,0.076,10.00,
7.00,5.00,0.06,1.22,
7.00,7.50,0.12,1.40,
10.00,5.70,0.027,0.37,
34.10,11.30,0.072,0.43,
16.50,22.20,0.035,0.70,
13.00,17.60,0.15,0.91,
33.00,69.40,0.013,1.77,
29.00,79.30,0.001,2.01,
25.00,8.20,0.048,1.16,
23.50,27.50,0.042,1.86,
47.00,368.00,0.045,2.41,
32.00,116.00,0.005,0.55,
13.70,12.20,0.0027,1.30,
13.00,10.90,0.06,0.74,
17.00,24.00,0.083,0.90,
20.00,40.00,0.064,0.67,
18.00,45.00,0.104,0.60,
27.00,66.00,0.022,0.66,
23.00,68.00,0.049,0.53,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,